#	Frequencies and overlap
#	bins	Data	shuffle	overlap	overlap_shuffle
	0.025	0.24	0.24	0	0
	0.05	0.02	0.34	0	0
	0.075	0.38	0.3	0	0
	0.1	0.44	0.22	0	0
	0.125	0.16	0.2	0	0
	0.15	0.08	0.32	0	0
	0.175	0.26	0.24	0	0
	0.2	0.42	0.32	0	0
	0.225	0.2	0.2	0	0
	0.25	0.08	0.3	0	0
	0.275	0.36	0.3	0	0
	0.3	0.36	0.2	0	0
	0.325	0.28	0.22	0	0
	0.35	0.02	0.3	0	0
	0.375	0.38	0.26	0	0
	0.4	0.46	0.28	0	0
	0.425	0.18	0.36	0	0
	0.45	0.02	0.32	0	0
	0.475	0.28	0.34	0	0
	0.5	0.56	0.16	0	0
	0.525	0.18	0.22	0	0
	0.55	0.08	0.28	0	0
	0.575	0.42	0.2	0	0
	0.6	0.48	0.3	0	0
	0.625	0.24	0.26	0	0
	0.65	0.1	0.38	0	0
	0.675	0.36	0.26	0	0
	0.7	0.5	0.22	0	0
	0.725	0.4	0.2	0	0
	0.75	0.1	0.2	0	0
	0.775	0.34	0.26	0	0
	0.8	0.44	0.16	0	0
	0.825	0.18	0.24	0	0
	0.85	0.02	0.24	0	0
	0.875	0.42	0.32	0	0
	0.9	0.58	0.24	0	0
	0.925	0.24	0.2	0	0
	0.95	0.08	0.26	0	0
	0.975	0.34	0.22	0	0
	1	0.48	0.3	0	0


#	yrange	sparsity	# links	zeta	support at cross
	0	4.52035e-05	50	49	50	49	53	0.625	3.17886e-06
	0.25	4.52035e-05	50	49	50	49	53	0.625	3.17886e-06
