#	Frequencies and overlap
#	bins	MYC	shuffle	overlap_MYC	overlap_shuffle	SIGN_MYC	SIGNshuffle	SIGNoverlap_MYC	SIGNoverlap_shuffle
	0	0	0	1	1	0.569132	0.590868	0.835556	0
	0.001	0	0	1	1	0	0	0.835556	0
	0.002	0	0	1	1	0	0	0.835556	0
	0.003	0	0	1	1	0	0	0.835556	0
	0.004	0	0	1	1	0	0	0.835556	0
	0.005	0	0	1	1	0	0	0.835556	0
	0.006	0	0	1	1	0	0	0.835556	0
	0.007	0	0	1	1	0	0	0.835556	0
	0.008	0	0	1	1	0	0	0.835556	0
	0.009	0	0	1	1	0	0	0.835556	0
	0.01	0	0	1	1	0	0	0.835556	0
	0.011	0	0	1	1	0	0	0.835556	0
	0.012	0	0	1	1	0	0	0.835556	0
	0.013	0	0	1	1	0	0	0.835556	0
	0.014	0	0	1	1	0	0	0.835556	0
	0.015	0	0	1	1	0	0	0.835556	0
	0.016	0	0	1	1	0	0	0.835556	0
	0.017	0	0	1	1	0	0	0.835556	0
	0.018	0	0	1	1	0	0	0.835556	0
	0.019	0	0	1	1	0	0	0.835556	0
	0.02	0	0	1	1	0	0	0.835556	0
	0.021	0	0	1	1	0	0	0.835556	0
	0.022	0	0	1	1	0	0	0.835556	0
	0.023	0	0	1	1	0	0	0.835556	0
	0.024	0	0	1	1	0	0	0.835556	0
	0.025	0	0	1	1	0	0	0.835556	0
	0.026	0	0	1	1	0	0	0.835556	0
	0.027	0	0	1	1	0	0	0.835556	0
	0.028	0	0	1	1	0	0	0.835556	0
	0.029	0	0	1	1	0	0	0.835556	0
	0.03	0	0	1	1	0	0	0.835556	0
	0.031	0	0	1	1	0	0	0.835556	0
	0.032	0	0	1	1	0	0	0.835556	0
	0.033	0	0	1	1	0	0	0.835556	0
	0.034	0	0	1	1	0	0	0.835556	0
	0.035	0	0	1	1	0	0	0.835556	0
	0.036	0	0	1	1	0	0	0.835556	0
	0.037	0	0	1	1	0	0	0.835556	0
	0.038	0	0	1	1	0	0	0.835556	0
	0.039	0	0	1	1	0	0	0.835556	0
	0.04	0	0	1	1	0	0	0.835556	0
	0.041	0	0	1	1	0	0	0.835556	0
	0.042	0	0	1	1	0	0	0.835556	0
	0.043	0	0	1	1	0	0	0.835556	0
	0.044	0	0	1	1	0	0	0.835556	0
